SibatSiyum,Min_m,dat_m,Gil_M,MatzavMishp_m,ShnatAliya_m,Shana,Machoz_m,Nafa_m
3,2,10,43,20,1900,2018,2,21
3,2,10,61,20,1962,2018,2,21
3,1,10,77,20,1952,2018,2,21
3,1,10,27,10,1900,2018,2,21
6,1,95,23,10,1995,2018,2,21
5,1,10,75,20,1958,2018,2,21
6,2,10,36,20,1991,2018,2,21
4,2,10,70,20,2005,2018,2,22
6,2,10,29,20,1900,2018,2,22
6,1,10,42,20,1900,2018,2,22
5,2,10,74,10,1900,2018,2,22
6,1,10,56,10,1900,2018,2,22
5,2,10,77,20,1900,2018,2,22
1,2,10,20,10,1900,2018,2,22
6,2,60,28,20,1900,2018,2,22
1,1,20,47,20,1900,2018,2,22
1,2,60,34,20,1900,2018,2,22
2,1,60,23,10,1900,2018,2,22
6,1,40,38,20,1900,2018,2,22
3,1,40,26,10,1900,2018,2,22
8,1,40,20,10,1900,2018,2,22
3,2,60,35,20,1900,2018,2,22
8,2,20,39,20,1900,2018,2,22
3,1,20,28,10,1900,2018,2,22
3,2,40,36,20,1900,2018,2,22
3,1,40,26,10,1900,2018,2,22
2,2,20,28,10,1900,2018,2,22
5,1,10,47,10,1900,2018,2,22
8,2,95,29,20,2010,2018,2,22
5,2,10,83,40,1950,2018,2,22
8,2,10,26,10,1900,2018,2,22
9,1,10,24,10,1900,2018,2,22
3,1,95,55,20,1995,2018,2,22
3,1,10,49,10,1900,2018,2,22
3,1,10,74,20,1990,2018,2,22
8,2,10,46,20,1900,2018,2,23
3,1,10,27,10,1900,2018,2,23
6,1,10,38,30,1900,2018,2,23
1,1,10,61,20,1900,2018,2,23
5,2,10,59,20,1991,2018,2,23
8,1,95,28,10,1997,2018,2,23
3,1,10,42,20,1900,2018,2,23
3,1,10,43,20,1991,2018,2,23
3,2,10,51,10,1900,2018,2,23
3,2,10,23,10,1900,2018,2,23
1,1,10,24,10,1900,2018,2,23
1,2,20,36,10,1900,2018,2,23
3,1,21,39,20,1900,2018,2,23
5,2,20,22,10,1900,2018,2,23
1,1,20,25,10,1900,2018,2,23
10,2,10,28,10,1994,2018,2,23
2,2,10,21,10,1900,2018,2,23
8,2,10,47,20,1900,2018,2,23
8,2,10,66,40,1961,2018,2,23
2,2,10,64,40,1990,2018,2,23
2,1,10,22,10,1900,2018,2,23
2,2,10,51,20,1900,2018,2,23
1,1,10,25,10,1900,2018,2,23
2,2,20,53,20,1900,2018,2,23
3,1,20,22,10,1900,2018,2,23
3,1,20,47,20,1900,2018,2,23
3,2,10,61,20,1963,2018,2,23
2,1,10,21,10,1900,2018,2,23
5,2,10,20,10,1900,2018,2,23
8,1,10,48,20,1900,2018,2,23
3,2,10,22,10,1900,2018,2,23
3,1,10,53,20,1900,2018,2,23
3,2,10,48,20,1900,2018,2,23
6,1,10,63,20,1996,2018,2,23
5,2,10,78,20,1950,2018,2,23
7,2,95,89,40,1996,2018,2,23
6,1,10,72,10,1958,2018,2,23
3,1,10,32,10,1900,2018,2,23
2,1,10,59,20,1900,2018,2,23
6,2,10,77,40,1991,2018,2,23
6,1,95,31,20,1991,2018,2,23
3,2,10,67,40,1991,2018,2,23
6,2,10,56,10,1900,2018,2,23
2,2,10,33,30,1994,2018,2,23
5,2,10,78,20,1955,2018,2,23
3,2,10,67,20,1963,2018,2,23
6,1,10,49,20,1900,2018,2,23
6,2,10,38,10,1900,2018,2,23
5,1,10,73,20,1955,2018,2,23
2,1,10,26,10,1900,2018,2,23
8,2,10,28,10,1900,2018,2,23
3,2,10,25,10,1996,2018,2,23
5,2,10,53,20,1900,2018,2,23
3,1,20,49,20,1900,2018,2,24
5,2,20,59,10,1900,2018,2,24
3,2,20,36,10,1900,2018,2,24
3,1,20,34,20,1900,2018,2,24
6,2,20,30,20,1900,2018,2,24
3,2,20,24,10,1900,2018,2,24
10,1,20,35,10,1900,2018,2,24
8,2,20,29,10,1900,2018,2,24
3,2,20,59,10,1900,2018,2,24
1,2,20,27,20,1900,2018,2,24
1,1,20,34,20,1900,2018,2,24
1,1,20,23,10,1900,2018,2,24
2,1,20,24,10,1900,2018,2,24
3,1,60,50,20,1900,2018,2,24
3,1,60,30,10,1900,2018,2,24
3,2,60,53,20,1900,2018,2,24
1,2,20,25,10,1900,2018,2,24
8,1,20,25,10,1900,2018,2,24
1,2,20,28,20,1900,2018,2,24
3,1,20,33,20,1900,2018,2,24
3,2,20,23,10,1900,2018,2,24
3,1,20,28,10,1900,2018,2,24
3,1,20,40,20,1900,2018,2,24
3,2,40,50,20,1900,2018,2,24
6,1,41,39,20,1900,2018,2,24
8,1,20,27,10,1900,2018,2,24
5,2,20,47,10,1900,2018,2,24
1,1,20,56,20,1900,2018,2,24
10,2,20,74,20,1949,2018,2,24
2,2,20,40,20,1900,2018,2,24
1,2,20,27,20,1900,2018,2,24
1,1,40,23,10,1900,2018,2,24
3,2,40,30,20,1900,2018,2,24
3,2,41,57,20,1900,2018,2,24
1,1,20,21,10,1900,2018,2,24
1,1,20,38,20,1900,2018,2,24
3,1,20,68,20,1950,2018,2,24
3,2,20,40,20,1900,2018,2,24
3,2,10,34,20,1900,2018,2,24
6,1,10,47,10,1900,2018,2,24
1,2,95,20,10,1900,2018,2,24
2,1,10,27,10,2004,2018,2,24
5,1,10,86,20,1956,2018,2,24
5,1,10,39,30,1900,2018,2,24
1,1,10,21,10,1900,2018,2,24
7,2,10,86,10,1993,2018,2,24
5,1,95,84,20,1996,2018,2,24
7,1,10,54,30,1991,2018,2,24
5,1,10,91,20,1996,2018,2,24
7,2,10,96,30,1990,2018,2,24
3,1,10,35,10,1991,2018,2,24
3,2,10,61,30,1991,2018,2,24
8,1,10,43,20,1900,2018,2,24
6,1,10,34,10,1900,2018,2,24
8,2,10,36,10,1900,2018,2,24
2,1,20,26,10,1900,2018,2,24
8,1,20,22,10,1900,2018,2,24
3,1,20,51,20,1900,2018,2,24
3,2,20,21,10,1900,2018,2,24
8,2,40,34,20,1900,2018,2,24
1,2,20,20,10,1900,2018,2,24
3,1,20,35,20,1900,2018,2,24
1,2,20,25,10,1900,2018,2,24
3,2,20,50,20,1900,2018,2,24
3,1,10,26,10,1900,2018,2,24
5,2,10,43,10,1990,2018,2,24
1,2,95,30,20,2015,2018,2,24
3,2,10,68,20,1990,2018,2,24
8,1,20,28,10,1900,2018,2,24
7,2,20,80,20,1948,2018,2,24
3,1,20,64,20,1900,2018,2,24
6,1,20,26,10,1900,2018,2,24
3,2,20,24,20,1900,2018,2,24
1,1,20,47,20,1900,2018,2,24
6,2,10,54,30,1900,2018,2,24
